goos: linux
goarch: amd64
pkg: branchkv-core/internal/virtual_mem/benchmarks
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkArenaAllocate-4   	68537530	        18.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	67391677	        18.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	59793922	        17.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	68991646	        17.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	67312042	        17.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	66946951	        19.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	66449557	        17.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	66961621	        17.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	68363377	        18.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaAllocate-4   	66774740	        18.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        11.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        11.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	89875838	        11.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	99562819	        13.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        12.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        12.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        11.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        13.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	100000000	        11.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyOnWrite-4     	94121994	        11.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	511989358	         2.282 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	530383320	         2.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	534756793	         2.284 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	529580082	         2.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	525064150	         2.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	502399280	         2.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	526078243	         2.294 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	525352623	         2.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	457630993	         2.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoWFault-4        	532407594	         2.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	23195120	        54.33 ns/op	      44 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	34404010	        57.45 ns/op	      46 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	39111867	        62.98 ns/op	      41 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	34617546	        32.79 ns/op	      46 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	38795095	        52.16 ns/op	      41 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	34331011	        34.33 ns/op	      47 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	38973402	        55.27 ns/op	      41 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	41069844	        54.71 ns/op	      49 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	48158902	        42.32 ns/op	      41 B/op	       0 allocs/op
BenchmarkArenaDAG-4        	32917413	        36.72 ns/op	      49 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	459824186	         2.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	485254568	         2.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	464088202	         2.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	486258415	         2.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	471799167	         2.426 ns/op	       0 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	478367960	         2.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkEpochAdvance-4    	502554387	         2.418 ns/op	       0 B/op	       0 allocs/op
